"direction","line_name","org_name","org_lat","org_long","dest_name","dest_lat","dest_long","vech_name","vech_lat","vech_long","next_point_name","arrivial_app","dist_from_stop","weekend_status","day_of_year","time_of_day","delay_mins"
0,"M55","STATE ST/WHITEHALL ST",40.70242,-74.013049,"44 ST 6 AV",40.755986,-73.982997,"NYCT_3919",40.746918,-73.989878,"AV OF THE AMERICAS/W 31 ST","approaching",143,TRUE,336,590,-0.7
0,"M5","6 AV/W 31 ST",40.748042,-73.988957,"LIMITED WASHINGTON HEIGHTS GW BRIDGE",40.848264,-73.937455,"NYCT_6644",40.820318,-73.954784,"BROADWAY / W 135 ST","approaching",43,FALSE,282,570,2.1
1,"Q28","23 AV/BELL BL",40.782291,-73.777061,"FLUSHING  MAIN ST STA",40.760937,-73.827286,"NYCT_4671",40.760847,-73.829253,"39 AV /138 ST","< 1 stop away",201,FALSE,216,796,3.36666666666667
1,"B52","PALMETTO ST/ST NICHOLAS AV",40.70042,-73.909996,"DNTWN BKLYN TILLARY ST via GATES",40.693939,-73.990311,"NYCT_3983",40.693194,-73.918432,"GATES AV/EVERGREEN AV","< 1 stop away",180,TRUE,218,929,3.58333333333333
1,"Bx29","CITY ISLAND AV/ROCHELLE ST",40.839062,-73.783363,"CO-OP CITY BAY PLAZA",40.868858,-73.826347,"NYCT_4077",40.857138,-73.795893,"CITY ISLAND RD/ORCHARD BEACH CIR","< 1 stop away",636,FALSE,226,756,0.983333333333333
0,"B25","FRONT ST / YORK ST",40.702515,-73.991913,"BWAY JCT ALABAMA AV via FULTON",40.67672,-73.900116,"NYCT_4844",40.678928,-73.922705,"FULTON ST/RALPH AV","approaching",123,TRUE,161,1098,32.95
0,"Bx7","ST NICHOLAS AV/W 167 ST",40.840932,-73.939496,"RIVERDALE 263 ST",40.912377,-73.902533,"NYCT_8373",40.870985,-73.914477,"BROADWAY/W 218 ST","approaching",37,FALSE,348,1129,2.95
1,"B13","WYCKOFF AV/DE KALB AV",40.704324,-73.91937,"SPRING CREEK GATEWAY MALL",40.652821,-73.876756,"NYCT_4424",40.652098,-73.876152,"GATEWAY CTR TERM/GATEWAY DR","approaching",93,FALSE,283,633,11.6833333333333
0,"Q58","PALMETTO ST/MYRTLE AV",40.700178,-73.910254,"FLUSHING MAIN ST",40.757344,-73.829362,"NYCT_6521",40.74246,-73.872549,"CORONA AV/93 ST","approaching",88,FALSE,303,979,-2.33333333333333
0,"Q17","MERRICK BL/ARCHER AV",40.704906,-73.793304,"FLUSHING MAIN ST STA",40.761745,-73.829529,"NYCT_5170",40.757061,-73.826942,"KISSENA BL/SANFORD AV","approaching",32,FALSE,171,1241,45.1666666666667
